gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ITM2B	340844	457	36	915320	234901	0	4	0	0	22	59	9900867	8.379730e-01	1
FIGF	200632	NaN	40	1220271	305418	0	7	2	0	17	101	12418931	8.382162e-01	1
MYBPC3	1189866	245	45	4310410	1231946	0	26	12	0	13	48	8161292	8.382493e-01	1
RRM2B	504282	507	33	1507009	389945	0	5	3	0	9	33	4897429	8.382678e-01	1
SPOPL	85990	638	15	1372046	335773	0	7	1	0	7	25	3420308	8.384997e-01	1
LRRC52	262572	574	-22	1020395	307753	0	10	4	0	24	188	14669871	8.386890e-01	1
GBA	1574928	194	45	1807290	516969	0	12	4	0	12	41	4773207	8.387525e-01	1
SPATA12	418332	332	46	610369	192404	0	2	0	0	2	3	965289	8.387535e-01	1
FBXO4	113456	795	23	1345894	354920	0	3	1	0	4	18	3417039	8.387733e-01	1
PGPEP1	1294357	210	39	711241	196607	0	2	2	0	14	46	6130309	8.388757e-01	1
PRKD2	1153249	224	32	2926689	863016	0	13	7	0	9	36	5837500	8.389895e-01	1
SKA1	277376	392	52	893371	216221	0	5	3	0	5	17	2163611	8.389969e-01	1
ZNF679	NaN	NaN	NaN	1416878	339976	0	29	4	0	0	4	339976	8.391324e-01	1
SLC38A11	80659	427	-3	1297793	370798	0	11	3	0	3	25	2639017	8.391711e-01	1
NRK	18768	NaN	2	5356023	1454238	0	66	19	0	6	62	4134351	8.393643e-01	1
DES	604261	335	38	1567252	459995	0	11	4	0	19	103	11856663	8.394461e-01	1
YPEL4	923511	354	15	441782	113014	0	1	1	0	7	27	2786589	8.396045e-01	1
SBSN	1081638	390	41	1944121	559466	0	10	3	0	9	20	4554651	8.398021e-01	1
EID1	NaN	NaN	NaN	628582	164384	0	1	0	0	1	0	685556	8.399048e-01	1
WISP2	890596	168	46	807443	264322	0	4	3	0	8	36	6587969	8.401354e-01	1
C9orf9	1952019	575	33	587486	148039	0	4	1	0	2	13	1302930	8.402959e-01	1
EPO	1483965	336	46	630450	207348	0	7	5	0	7	85	5221527	8.403496e-01	1
NRBP1	1244404	179	39	1848853	499223	0	4	0	0	6	9	3214361	8.403555e-01	1
CITED1	370863	NaN	50	712642	226028	0	2	1	0	50	245	29221124	8.406257e-01	1
SUDS3	635715	823	32	1165165	279266	0	1	0	0	13	37	9593581	8.407301e-01	1
CAPN7	511283	367	30	2820213	713109	0	7	1	0	8	11	3389953	8.407630e-01	1
GUCA1A	524386	273	43	692094	173724	0	9	2	0	2	7	524441	8.408950e-01	1
MAPKBP1	816015	259	37	5022585	1513080	0	30	10	0	23	97	15031329	8.409281e-01	1
UPK1A	1162794	390	27	871889	250312	0	6	1	0	4	18	1852589	8.409488e-01	1
UNC5CL	134733	565	32	1712956	513233	0	9	4	0	50	215	30063592	8.409890e-01	1
SNX13	139013	585	-4	3341385	825189	0	13	2	0	2	5	1652713	8.409922e-01	1
IGSF5	285788	762	-70	1379985	381072	0	23	4	0	2	15	969959	8.410347e-01	1
LEF1	231204	771	22	1485060	388077	0	4	1	0	14	40	7910046	8.410933e-01	1
GATAD1	708388	401	27	894305	262921	0	1	2	0	8	24	5032392	8.411410e-01	1
DMRT1	85434	622	8	1232413	361925	0	9	3	0	2	8	1189916	8.411576e-01	1
CCDC140	235091	682	12	530979	158313	0	4	1	0	50	239	24576342	8.411713e-01	1
WIF1	344729	671	-9	1309001	338575	0	13	3	0	3	19	1648043	8.414062e-01	1
AMBP	244063	558	0	1211398	322697	0	12	5	0	4	38	2766041	8.414943e-01	1
MGST2	382197	256	12	503426	143836	0	2	1	0	9	33	4789085	8.416391e-01	1
GDF15	1294357	210	39	963421	343712	0	5	2	0	24	93	14272454	8.416540e-01	1
HDGFRP3	299178	679	24	710774	174658	0	7	2	0	6	33	2802934	8.417705e-01	1
PBK	406636	229	23	1119866	276931	0	2	0	0	23	58	11017931	8.418401e-01	1
C5orf30	203042	531	16	670612	205013	0	6	3	0	9	67	6482427	8.420082e-01	1
HIAT1	292450	530	4	1644307	481010	0	3	2	0	1	2	1056354	8.421043e-01	1
TUBGCP3	273358	399	11	3099946	834062	0	15	3	0	2	10	1759656	8.422212e-01	1
CCDC109B	211934	479	26	1154424	301215	0	6	1	0	3	5	916721	8.424041e-01	1
KLHL3	406828	409	26	2012770	537050	0	10	6	0	27	111	15366635	8.424736e-01	1
GSTM3	927739	201	22	801839	187267	0	4	1	0	41	132	15458634	8.425115e-01	1
CADM4	441738	209	6	1291255	391346	0	8	7	0	12	56	4744253	8.425416e-01	1
TRAF3IP2	320530	201	32	1884345	539385	0	2	0	0	5	6	2915014	8.425699e-01	1
CNTD1	1633092	190	33	1102587	322230	0	4	2	0	50	195	26723141	8.425944e-01	1
FAM90A1	172474	438	26	1497669	479142	0	29	11	0	1	15	728987	8.428501e-01	1
HGF	57326	604	17	2551688	629983	0	30	9	0	7	59	4016667	8.428575e-01	1
CTHRC1	428438	615	23	803707	241439	0	3	2	0	10	28	4882018	8.428863e-01	1
P2RX5	504736	354	20	1449101	393214	0	11	4	0	16	75	10168458	8.429277e-01	1
PTPRCAP	1392213	215	53	643526	234901	0	3	1	0	11	46	4280055	8.429297e-01	1
C1orf189	2028928	185	35	368463	82659	0	1	0	0	50	138	22245545	8.429783e-01	1
PDLIM1	302337	444	6	1115663	304951	0	14	4	0	5	14	1271174	8.430904e-01	1
MANBAL	666037	571	64	284870	87796	0	1	1	0	7	15	2228057	8.431152e-01	1
EFNA5	78424	628	21	782692	202211	0	5	1	0	18	77	9628606	8.432326e-01	1
HIST1H4B	408919	685	43	325966	113948	0	1	0	0	40	153	17554530	8.433610e-01	1
ZNF660	435137	541	40	1121734	273662	0	7	2	0	19	117	12439946	8.434084e-01	1
PRC1	753718	413	31	2148200	540319	0	6	4	0	19	72	12892469	8.434410e-01	1
TMEM109	794900	522	47	762611	279733	0	6	3	0	1	5	655668	8.434914e-01	1
RNF6	96737	562	25	2253742	646328	0	11	4	0	9	37	5670781	8.435036e-01	1
BAIAP2L2	1528130	197	73	1772732	527710	0	3	2	0	4	6	1929644	8.436126e-01	1
CNKSR2	90158	NaN	-2	3558073	919523	0	17	3	0	2	7	1613952	8.436310e-01	1
SMURF2	937631	151	-8	2588114	660805	0	15	2	0	1	5	1273509	8.436659e-01	1
RPP25	792240	199	45	618775	221825	0	2	0	0	8	20	3716853	8.439120e-01	1
BMP2	44205	385	-10	1302463	377336	0	18	10	0	6	43	2644621	8.440933e-01	1
CCL1	40425	871	-32	336707	84994	0	4	0	0	24	203	12911149	8.441501e-01	1
RAB15	521616	387	35	722916	191937	0	3	0	0	14	52	8514811	8.441668e-01	1
HLX	177316	564	-2	1570521	501558	0	8	2	0	5	12	2677311	8.442459e-01	1
LIN28A	1046693	181	33	707038	192404	0	5	3	0	4	20	1967004	8.443860e-01	1
SECISBP2L	372654	382	9	3583291	948944	0	11	0	0	4	7	3090606	8.444436e-01	1
SYF2	613835	460	36	855544	206414	0	2	0	0	8	12	3576286	8.444787e-01	1
PLEKHA4	1766061	211	34	2568033	816783	0	27	10	0	12	71	8105719	8.446009e-01	1
GHRH	787991	404	44	379204	98537	0	3	2	0	1	11	817717	8.447036e-01	1
UBA7	1306720	191	39	3366136	1023197	0	12	1	0	2	4	2108505	8.447223e-01	1
MMP23B	NaN	NaN	NaN	1274443	413762	0	1	0	0	1	0	934934	8.449469e-01	1
RASA3	434290	406	58	2898669	739728	0	11	6	0	33	94	18420348	8.449777e-01	1
BPTF	772730	293	1	10175930	2795929	0	40	10	0	3	15	3844811	8.450064e-01	1
EXOC3L2	1356264	243	38	1322077	451589	0	12	4	0	50	309	32759116	8.451150e-01	1
SNRPD3	480889	194	48	431041	119552	0	1	0	0	50	159	24039292	8.451227e-01	1
TRIM46	1801444	194	32	2462024	785494	0	16	7	0	29	109	15044405	8.451427e-01	1
RNF181	1158965	170	43	538918	133562	0	2	1	0	35	126	19942301	8.452121e-01	1
PRG3	923815	191	-3	779423	201277	0	7	2	0	14	66	7092796	8.453055e-01	1
RBM38	181292	604	9	523040	167653	0	3	2	0	7	18	2936029	8.453131e-01	1
HAUS1	396070	187	62	973228	247043	0	6	1	0	50	238	28998365	8.453131e-01	1
TGFBRAP1	191525	381	4	2860842	823788	0	19	9	0	5	13	2516663	8.453893e-01	1
RAF1	408529	172	32	2220585	596826	0	13	4	0	12	36	5370967	8.454279e-01	1
SPINT2	1410213	301	-1	853676	243307	0	7	2	0	24	117	11841719	8.456470e-01	1
CSAD	1729009	191	55	1760590	513233	0	8	3	0	35	102	16159601	8.456613e-01	1
WWC1	413858	343	23	3763086	1070364	0	22	10	0	7	19	3564611	8.457160e-01	1
TPBG	131014	486	-3	1319275	450188	0	4	2	0	4	18	3577220	8.458307e-01	1
SMAD3	444194	194	45	1535496	409092	0	5	2	0	28	71	11735710	8.459657e-01	1
CRIP3	1293543	363	51	717779	183064	0	5	1	0	50	299	32081499	8.460748e-01	1
CNN2	2387949	206	26	1049349	287205	0	5	1	0	25	176	24302213	8.461931e-01	1
LAG3	2816186	232	48	1691941	560867	0	11	4	0	50	225	33228451	8.462010e-01	1
ATP6V1C2	744427	428	42	1473385	398351	0	12	5	0	2	8	1172170	8.464794e-01	1
NXN	941400	376	15	1437893	436645	0	7	4	0	9	30	3905521	8.465502e-01	1
PLA2G4D	680403	360	46	2740356	811179	0	25	15	0	5	42	3061652	8.466339e-01	1
VEGFB	1613996	257	65	689292	221358	0	3	0	0	50	160	27973300	8.466599e-01	1
AK7	328475	560	14	2511059	629983	0	30	7	0	1	10	1058689	8.468820e-01	1
TBX2	292199	414	-9	2266818	763545	0	7	4	0	6	16	4110067	8.469125e-01	1
UTY	0	0	0	4887622	1294991	0	3	0	0	6	2	3938678	8.470199e-01	1
GRIA4	86500	920	-22	3356329	902711	0	36	7	0	0	7	902711	8.471594e-01	1
SEC11C	280782	512	53	665008	176993	0	4	2	0	22	104	12429672	8.471774e-01	1
NUP98	449630	310	25	6097619	1749382	0	32	6	0	1	7	2097764	8.472505e-01	1
SPANXN4	2776	NaN	-19	350250	81258	0	5	1	0	22	267	11768400	8.472849e-01	1
INTS2	350722	380	2	4086717	1115196	0	18	5	0	2	5	1500004	8.474469e-01	1
FGFR3	859388	222	42	2827218	874224	0	16	7	0	2	11	2285031	8.475003e-01	1
LCA5	300263	564	0	2362086	605232	0	18	4	0	18	54	7223089	8.475244e-01	1
DYDC1	352963	598	18	640257	144303	0	7	1	0	13	107	8607277	8.475911e-01	1
HSD17B14	1766061	211	34	891503	292342	0	3	3	0	15	72	9368487	8.476733e-01	1
CBWD5	176193	NaN	-8	1231946	299347	0	8	0	0	0	0	299347	8.479904e-01	1
SH2D1B	363646	391	1	459995	115816	0	6	3	0	3	26	1535029	8.480137e-01	1
PTGER1	954144	204	43	1214200	493619	0	2	0	0	1	0	881696	8.483220e-01	1
TP53I11	131819	609	16	643526	188668	0	3	1	0	15	49	8218733	8.485505e-01	1
RIPK4	302894	182	30	2534409	806976	0	14	6	0	5	22	4040951	8.486336e-01	1
SYNGR3	1747301	183	46	737860	245642	0	2	1	0	50	182	25104519	8.487040e-01	1
SF3B1	736523	276	30	4432764	1220271	0	27	4	0	0	4	1220271	8.487527e-01	1
RPS27	2028800	222	34	307753	71918	0	1	0	0	50	158	23983252	8.487987e-01	1
TMEM121	689089	298	41	990974	353986	0	1	0	0	7	6	3980241	8.488060e-01	1
NDUFA4	142078	1098	-11	288606	72852	0	2	0	0	50	562	36783722	8.488269e-01	1
CHMP1B	NaN	NaN	NaN	662206	178394	0	1	0	0	1	0	699566	8.491203e-01	1
POLG2	1306314	184	23	1635901	451589	0	9	2	0	19	60	10974967	8.491468e-01	1
TOR2A	1098647	172	32	1290788	321763	0	5	5	0	14	59	7432772	8.492387e-01	1
MCAT	624112	241	48	1276778	386209	0	2	0	0	2	0	675282	8.493931e-01	1
UBXN8	365415	346	28	925127	254515	0	5	1	0	1	1	539385	8.494123e-01	1
MRPL44	314020	346	23	1099785	319428	0	3	2	0	7	15	4220746	8.494862e-01	1
CNIH4	628752	256	18	495487	118151	0	2	0	0	50	187	25292253	8.494884e-01	1
LEAP2	686574	200	66	266657	75187	0	1	0	0	50	180	21039751	8.497040e-01	1
CSNK1A1	607110	152	32	1283783	310555	0	5	1	0	12	30	5733826	8.498371e-01	1
RNGTT	202476	672	37	2085155	512299	0	10	1	0	3	16	2726346	8.498588e-01	1
HIST1H2AC	398813	636	53	412361	143836	0	2	0	0	7	14	1223540	8.498809e-01	1
ZBTB9	1397665	236	31	1495334	502492	0	13	3	0	14	62	7710170	8.499343e-01	1
IGF2BP3	494999	197	26	1968405	547791	0	13	1	0	0	1	547791	8.502570e-01	1
CROT	222199	876	3	2222453	566938	0	10	2	0	2	9	1916101	8.503857e-01	1
TSPYL2	884583	NaN	77	2355548	594958	0	7	3	0	2	17	3721056	8.504094e-01	1
OAS1	621550	527	22	1575658	410960	0	14	5	0	4	32	3978373	8.505102e-01	1
ASB8	511392	352	32	943807	287672	0	1	0	0	9	16	3905521	8.506880e-01	1
KCNK6	1467279	253	0	973228	357722	0	5	2	0	23	56	9227453	8.507011e-01	1
TICAM1	765978	187	52	2247204	749535	0	13	8	0	34	138	17510165	8.508073e-01	1
CCNJ	518423	857	35	1285651	356321	0	5	0	0	8	8	2170149	8.508324e-01	1
PSENEN	1151198	321	30	350717	94801	0	1	0	0	50	191	25055951	8.508347e-01	1
WARS2	163335	948	-5	1232880	355854	0	6	3	0	4	13	2254676	8.508602e-01	1
CHAC1	1049616	176	50	854143	273662	0	2	0	0	2	10	1413609	8.509086e-01	1
GABPB2	1614665	165	40	1489263	439914	0	13	7	0	6	19	1920304	8.509784e-01	1
IGFBPL1	234360	688	16	887300	310555	0	5	3	0	9	34	5046402	8.509798e-01	1
PHOSPHO2	345692	393	35	819585	205947	0	4	0	0	38	132	20615248	8.510558e-01	1
RHOV	1036414	172	51	763545	243774	0	4	1	0	45	185	25019525	8.511322e-01	1
ZNF667	135115	713	-50	2080485	509964	0	24	8	0	2	14	1331417	8.513724e-01	1
RAN	214809	440	-6	753271	192404	0	2	1	0	12	63	5650700	8.516274e-01	1
FCN3	866116	188	28	1017126	285804	0	7	4	0	22	111	12597325	8.518439e-01	1
SEC23B	414545	392	23	2609129	725251	0	23	5	0	1	7	958751	8.518805e-01	1
SHPK	504736	354	20	1558379	489883	0	8	5	0	16	75	10168458	8.519903e-01	1
GNPDA2	62624	1009	11	964822	233033	0	4	1	0	10	88	10449592	8.520108e-01	1
CT45A3	NaN	NaN	NaN	656135	164851	0	1	0	0	1	0	686023	8.520536e-01	1
ITGB1BP2	728362	NaN	26	1208596	312890	0	4	1	0	11	71	11302334	8.520650e-01	1
ELAC1	189022	332	51	1199256	347448	0	5	0	0	3	2	898041	8.522840e-01	1
VENTX	339279	452	-12	825189	277398	0	8	4	0	1	7	891503	8.524237e-01	1
OXSR1	301294	386	31	1824102	490350	0	8	3	0	2	8	1676997	8.524989e-01	1
PLXNB3	2103463	NaN	30	6359139	2032851	0	19	6	0	0	6	2032851	8.525142e-01	1
C1orf146	304492	524	-3	630917	157846	0	2	0	0	7	12	3158788	8.525304e-01	1
TRAM2	421188	378	33	1273976	341377	0	2	0	0	6	5	2537678	8.526346e-01	1
HSF5	818916	384	23	1949725	587486	0	14	4	0	13	69	8854787	8.526862e-01	1
AGPAT9	186399	436	21	1482258	407691	0	12	3	0	16	88	9777112	8.528079e-01	1
SLC27A1	930383	202	34	2120647	663140	0	6	4	0	5	11	2452217	8.528265e-01	1
GALNT6	504747	239	33	2085622	584684	0	26	7	0	4	31	2417659	8.529956e-01	1
TNMD	182582	NaN	-2	1103988	266190	0	7	2	0	20	98	13248790	8.530396e-01	1
CRYAB	437513	221	22	580948	172790	0	2	2	0	14	30	5370967	8.530749e-01	1
ANXA10	55532	402	-16	1156292	271327	0	18	6	0	6	44	2594652	8.531228e-01	1
MIDN	2214581	234	29	1496735	508096	0	4	1	0	6	10	2548419	8.531956e-01	1
FOXL2	345888	340	21	1182911	401620	0	2	1	0	25	41	16746153	8.532844e-01	1
WDR55	774470	356	31	1275844	371732	0	2	0	0	10	18	4456581	8.532996e-01	1
TGOLN2	975949	211	18	1436959	420767	0	4	1	0	9	13	3479150	8.533247e-01	1
C12orf76	1009535	193	57	467467	120953	0	3	1	0	29	107	13335185	8.533948e-01	1
WDR31	408268	248	31	1266971	330169	0	9	5	0	3	14	1713423	8.535542e-01	1
VPS29	922262	206	43	641658	169521	0	3	1	0	50	210	29293042	8.536300e-01	1
BEX2	455954	NaN	17	557131	130760	0	2	1	0	50	237	30077135	8.537489e-01	1
MAFK	595899	243	38	503426	167653	0	2	1	0	47	181	26675974	8.538197e-01	1
PUS10	635242	350	33	1859594	463264	0	6	3	0	2	13	1904893	8.538763e-01	1
CAMK2A	978175	220	47	1708753	451589	0	7	4	0	50	214	26966915	8.539490e-01	1
RAB2A	234041	512	24	750469	183998	0	1	1	0	8	33	5253750	8.539752e-01	1
SIRPB2	397239	386	42	1130140	333905	0	9	5	0	4	29	3769157	8.541393e-01	1
ADCK2	354697	567	38	2008100	666409	0	9	5	0	20	64	9411918	8.543124e-01	1
GAL3ST4	1299015	205	52	1541100	516969	0	4	0	0	3	2	1466847	8.543356e-01	1
HFE	408919	685	43	1181043	313824	0	9	1	0	6	8	1319742	8.543669e-01	1
NR4A1	468067	234	41	1922639	628582	0	6	4	0	39	90	17208483	8.544899e-01	1
ZNF286B	NaN	NaN	NaN	1772732	442249	0	10	3	0	1	3	963421	8.546128e-01	1
SLC35A5	279107	502	33	1433223	386676	0	8	1	0	24	72	11841252	8.546568e-01	1
PF4	230379	408	2	338108	104608	0	1	2	0	5	17	2720742	8.546743e-01	1
WDR6	1799657	241	41	3673889	1195987	0	21	6	0	4	18	3012617	8.546768e-01	1
FAM19A3	559669	325	27	605699	129826	0	1	1	0	50	244	30381619	8.546960e-01	1
PTPRA	807310	396	46	2761371	731322	0	13	8	0	4	22	2983663	8.547314e-01	1
NDUFC2	556958	209	38	401153	114415	0	3	0	0	50	271	25684066	8.548477e-01	1
RNASE9	637784	493	22	726185	178861	0	9	3	0	9	56	4596681	8.549079e-01	1
CYB5D2	753798	357	30	860681	269926	0	2	1	0	10	17	4413150	8.549729e-01	1
GYLTL1B	427820	291	48	2366289	741129	0	12	5	0	11	41	5313993	8.549974e-01	1
CCNG2	421623	562	33	1182911	303550	0	2	2	0	21	60	11560585	8.550560e-01	1
PPIP5K1	794398	269	37	4969347	1393995	0	16	5	0	1	7	1819899	8.550800e-01	1
SCD5	740142	473	21	1321143	378270	0	6	3	0	12	43	6092482	8.551674e-01	1
MRPL43	1020226	247	40	1432756	360524	0	3	0	0	7	24	4078778	8.552925e-01	1
C5orf24	877491	696	39	618308	181663	0	1	0	0	17	40	9005161	8.554699e-01	1
VTCN1	322193	566	12	952213	268058	0	10	4	0	7	32	2878121	8.557479e-01	1
RPL14	195734	546	20	744865	203612	0	2	1	0	16	58	7828788	8.557896e-01	1
CCR4	511282	469	17	1181043	341844	0	9	5	0	11	47	4590143	8.559465e-01	1
B3GNT9	1093307	150	47	1244555	449254	0	1	1	0	13	23	6549675	8.559680e-01	1
DUS1L	3850694	197	34	1620490	444584	0	6	3	0	8	29	5474641	8.559894e-01	1
TCF3	2396187	262	31	2432603	750469	0	8	3	0	11	101	14639049	8.560368e-01	1
AMDHD1	366272	436	8	1431822	407691	0	10	4	0	21	76	10205351	8.561056e-01	1
ARMC4	125789	454	-4	3534256	964355	0	120	27	0	0	27	964355	8.561586e-01	1
ZNHIT2	3267059	207	46	1245956	457660	0	1	0	0	1	0	1283316	8.562615e-01	1
CCDC105	990597	524	16	1645241	492685	0	21	11	0	4	38	1867533	8.562663e-01	1
ATL2	808394	366	25	2122515	556197	0	3	0	0	1	1	1697545	8.563226e-01	1
RPF2	343624	410	29	1080638	265723	0	3	2	0	23	93	15050943	8.563387e-01	1
ZMAT2	774470	356	31	718246	153176	0	1	0	0	50	186	27267196	8.565103e-01	1
TCTN3	370056	547	31	2041724	586552	0	5	2	0	5	13	3993784	8.565329e-01	1
LMO7	197158	342	46	5860383	1489263	0	40	10	0	24	74	12066813	8.565976e-01	1
MSTN	508463	478	28	1256230	335306	0	11	5	0	3	15	2081419	8.566332e-01	1
NIF3L1	635570	201	31	1292189	330169	0	2	0	0	4	3	2000628	8.567395e-01	1
DNASE1	611617	242	43	962020	273662	0	2	0	0	1	1	950345	8.567750e-01	1
ITGA10	NaN	NaN	NaN	3881704	1192718	0	25	8	0	1	8	1713890	8.568933e-01	1
KLHL17	1911331	239	9	2099165	665008	0	6	3	0	11	53	9906004	8.568968e-01	1
MRPL11	1941577	194	51	723383	223693	0	2	1	0	50	138	26395307	8.569164e-01	1
GJC1	1162976	172	29	1314138	360057	0	8	4	0	18	72	8710484	8.570818e-01	1
CCDC64	1390014	218	43	1904893	555263	0	10	6	0	50	267	30961166	8.572008e-01	1
PRSS8	1296884	351	35	1126404	347448	0	4	3	0	26	135	17513901	8.575305e-01	1
FAM122B	293030	NaN	27	1021796	255916	0	2	0	0	13	55	9550617	8.575698e-01	1
UBE2W	257905	407	34	583750	137765	0	1	0	0	50	185	25366973	8.576443e-01	1
OTX1	240308	505	12	1142749	360524	0	4	2	0	13	23	5373769	8.576455e-01	1
P2RY13	67416	548	15	1171236	329235	0	5	2	0	3	5	1144617	8.576554e-01	1
MAG	767180	472	8	2089825	650531	0	13	4	0	4	13	2070678	8.577357e-01	1
NPM1	300840	347	30	1066161	245175	0	5	1	0	20	58	9216245	8.577384e-01	1
CDC27	955548	395	18	2846832	746733	0	11	6	0	4	18	3054180	8.577794e-01	1
GOLGA8A	542657	234	22	2076749	545923	0	3	2	0	1	2	1702215	8.577844e-01	1
GPR37L1	704755	156	27	1534562	499690	0	7	6	0	3	15	2009034	8.578006e-01	1
GPR155	405127	409	30	2943034	801839	0	14	1	0	0	1	801839	8.578078e-01	1
ZMYND10	843769	206	51	1498603	416564	0	3	1	0	6	10	2717940	8.578327e-01	1
LRMP	250089	700	17	1753118	443650	0	17	5	0	4	21	2038455	8.578629e-01	1
HJURP	301500	439	13	2495181	700500	0	17	8	0	11	31	3558073	8.581104e-01	1
C5orf45	1610057	359	38	1151155	331103	0	4	0	0	3	5	1503273	8.583013e-01	1
SLC38A2	755445	311	14	1746580	468401	0	3	0	0	3	10	2522734	8.583148e-01	1
TCEA1	267995	392	29	1063826	255916	0	3	1	0	30	145	22052674	8.585192e-01	1
CTNNBL1	720832	507	48	1959532	497822	0	12	3	0	13	45	6119568	8.585792e-01	1
LSM2	2509866	183	32	337174	88730	0	1	0	0	24	87	14126283	8.586582e-01	1
ZBTB1	666489	188	45	2474166	587019	0	9	2	0	6	17	2908009	8.586754e-01	1
COL13A1	591993	561	26	2459689	776621	0	34	12	0	4	37	3532855	8.588950e-01	1
TNIK	146464	805	25	4663929	1235682	0	45	12	0	5	34	3215762	8.590545e-01	1
FLAD1	1612870	224	35	2059003	644927	0	13	2	0	3	9	1483192	8.590656e-01	1
GNG10	527624	264	17	235835	68182	0	1	0	0	50	229	25947921	8.593022e-01	1
MICAL2	319572	254	10	3817258	1056821	0	27	11	0	4	20	3492693	8.593779e-01	1
FRMD7	151115	NaN	25	2436806	629983	0	30	8	0	6	34	3802781	8.594106e-01	1
C2orf61	738157	206	39	863483	237703	0	4	2	0	6	45	6471219	8.596395e-01	1
SLC35A3	287540	530	9	1090912	318494	0	4	0	0	8	16	3940546	8.596469e-01	1
SUMO1	371912	192	41	372666	81258	0	1	1	0	50	167	26077280	8.596701e-01	1
ZNF620	195638	546	22	1443497	356788	0	5	1	0	12	37	5682456	8.598045e-01	1
TRIM16	471003	431	-19	1891817	510898	0	1	2	0	5	2	3455800	8.598362e-01	1
FDXR	1027517	320	20	1635434	522106	0	9	4	0	10	47	6833611	8.599292e-01	1
EIF4G1	1447013	268	44	5316328	1582196	0	29	6	0	4	26	3881704	8.599600e-01	1
C6orf226	1086050	203	41	313357	118151	0	1	1	0	27	106	12112112	8.599636e-01	1
CFC1	NaN	NaN	NaN	1491598	452990	0	3	1	0	1	1	974162	8.601302e-01	1
MEN1	2261775	230	61	2008100	631384	0	6	2	0	1	5	1445365	8.601303e-01	1
FBXW11	380827	400	36	1933847	509497	0	7	1	0	13	42	7526172	8.602684e-01	1
CASD1	446033	469	3	2757168	692094	0	14	0	0	1	2	1062425	8.603878e-01	1
HADHA	641003	274	38	2585312	732256	0	8	0	0	2	3	1679332	8.606449e-01	1
C14orf105	150716	939	15	1028334	247977	0	7	3	0	11	51	5322866	8.607442e-01	1
CREBBP	637890	242	39	8128135	2307914	0	39	14	0	5	18	4403810	8.608800e-01	1
CHRM5	409900	384	2	1734905	510898	0	11	5	0	4	15	2299508	8.609074e-01	1
EIF3D	1184089	359	38	1917969	467934	0	7	2	0	12	27	6182146	8.609078e-01	1
H2AFJ	340728	578	-4	404422	141968	0	1	2	0	17	86	7364590	8.609278e-01	1
RND2	1507064	201	26	754205	226495	0	1	0	0	6	9	3835471	8.609316e-01	1
ERMAP	811934	327	28	1586399	470269	0	7	4	0	4	10	1881076	8.609528e-01	1
ATP5H	1111289	171	31	576278	135430	0	2	0	0	50	173	22741499	8.610245e-01	1
DGKE	320339	324	-38	1933847	515101	0	15	5	0	4	15	1993156	8.610462e-01	1
NT5C1A	974845	388	36	1221205	357722	0	12	5	0	12	65	4935723	8.611062e-01	1
NKAPL	273319	502	35	1341691	354920	0	16	4	0	2	14	1551841	8.612195e-01	1
FAM167A	483148	520	43	695363	213886	0	5	2	0	27	110	12181228	8.612934e-01	1
UGT2B11	18988	929	1	1793280	465132	0	34	15	0	1	24	876092	8.614312e-01	1
NUPL1	331109	381	37	1997359	608501	0	8	1	0	2	7	1465446	8.614969e-01	1
RAB11FIP5	489748	460	18	2094962	676216	0	13	7	0	21	52	8037537	8.615377e-01	1
GAPDHS	1081638	390	41	1365975	409092	0	3	0	0	3	12	2194433	8.615550e-01	1
ATF5	1679101	205	45	880295	314758	0	9	1	0	1	7	879828	8.616265e-01	1
SPRR1B	687290	704	30	302616	81258	0	5	3	0	5	10	410493	8.616295e-01	1
F5	294416	415	11	7505157	1981014	0	56	24	0	9	67	6340926	8.617374e-01	1
LARP6	250598	339	10	1701748	497822	0	9	3	0	2	7	1374381	8.617381e-01	1
TOPORS	474275	362	-7	3438054	969492	0	9	3	0	5	6	2526470	8.617428e-01	1
KIF3A	717412	356	59	2426532	605232	0	7	1	0	1	1	966690	8.619108e-01	1
C11orf54	290677	527	0	920924	236302	0	3	0	0	1	0	471670	8.619284e-01	1
GPC3	96913	NaN	25	2052932	530512	0	13	4	0	5	17	2149601	8.619860e-01	1
EMILIN3	383021	309	5	2409253	831260	0	17	11	0	9	38	5061813	8.620317e-01	1
ICA1	176442	544	19	1700814	411894	0	15	7	0	11	52	4332826	8.622980e-01	1
PLEKHF2	385365	347	60	832661	223693	0	3	2	0	22	82	14036619	8.623585e-01	1
CNGB3	191008	1171	2	2774447	728053	0	61	18	0	0	18	728053	8.624149e-01	1
MED18	754355	170	25	702835	186800	0	3	2	0	24	120	18097184	8.625417e-01	1
SRPK1	761613	404	28	2276625	564603	0	12	3	0	10	42	6989589	8.627783e-01	1
MAT2A	1241734	170	39	1336554	372666	0	3	3	0	38	120	19991803	8.628446e-01	1
VAPB	962331	385	24	835463	218089	0	3	1	0	40	220	27044437	8.628683e-01	1
TTL	536287	433	32	1281448	340910	0	1	0	0	5	11	3743005	8.629381e-01	1
HEBP2	421773	590	19	702368	180262	0	1	0	0	2	1	1040943	8.631030e-01	1
ADRM1	990360	252	9	1357569	409092	0	3	3	0	11	26	5128594	8.631484e-01	1
